Month,Avg Players,Gain,% Gain,Peak Players
December 2020,717803.75,49049.17,7.33,1164396
November 2020,668754.58,55087.89,8.98,1037464
October 2020,613666.69,6816.37,1.12,943876
September 2020,606850.32,-33107.34,-5.17,977769
August 2020,639957.66,14056.85,2.25,925348
July 2020,625900.81,-45746.65,-6.81,857560
June 2020,671647.46,-97147.79,-12.64,1009467
May 2020,768795.25,-88808.97,-10.36,1193359
April 2020,857604.22,186570.94,27.8,1305714
March 2020,671033.29,127054.13,23.36,1145972
February 2020,543979.15,42783.15,8.54,916996
January 2020,501196.0,44494.44,9.74,817229
December 2019,456701.56,30620.76,7.19,767060
November 2019,426080.81,17085.5,4.18,758412
October 2019,408995.31,-1930.29,-0.47,747937
September 2019,410925.6,-4171.7,-1.0,720052
August 2019,415097.3,21314.48,5.41,647461
July 2019,393782.83,4406.1,1.13,578933
June 2019,389376.72,24959.42,6.85,587724
May 2019,364417.31,12427.39,3.53,588453
April 2019,351989.92,-38250.24,-9.8,621614
March 2019,390240.16,18881.2,5.08,680071
February 2019,371358.96,-30007.91,-7.48,654069
January 2019,401366.87,5857.61,1.48,684511
December 2018,395509.26,85423.83,27.55,746548
November 2018,310085.43,-15822.39,-4.85,546031
October 2018,325907.82,-7256.17,-2.18,565968
September 2018,333163.99,49632.68,17.51,583029
August 2018,283531.31,10224.05,3.74,454370
July 2018,273307.26,6445.02,2.42,426008
June 2018,266862.24,4691.36,1.79,420261
May 2018,262170.88,-26905.82,-9.31,454481
April 2018,289076.7,-65193.64,-18.4,523262
March 2018,354270.33,-28186.77,-7.37,672502
February 2018,382457.1,426.57,0.11,686588
January 2018,382030.53,41153.65,12.07,715850
December 2017,340876.88,19745.48,6.15,598405
November 2017,321131.4,-20729.86,-6.06,601881
October 2017,341861.26,-12540.83,-3.54,639968
September 2017,354402.09,-20023.6,-5.35,665371
August 2017,374425.69,-3163.35,-0.84,595781
July 2017,377589.04,3201.0,0.85,624785
June 2017,374388.04,2558.7,0.69,614621
May 2017,371829.34,-20369.85,-5.19,692966
April 2017,392199.19,5290.47,1.37,709841
March 2017,386908.72,-15476.99,-3.85,742356
February 2017,402385.71,9276.18,2.36,744468
January 2017,393109.53,50913.83,14.88,814616
December 2016,342195.7,13150.44,4.0,662460
